Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dwight Howard,C,36,LAL,4,0,14.3,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,1.8,2.3,.778,0.0,4.5,4.5,0.3,1.0,0.8,0.5,1.5,3.8
Markus Howard,SG,22,DEN,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Kevin Huerter,SG,23,ATL,3,1,23.7,3.3,8.3,.400,0.7,3.3,.200,2.7,5.0,.533,.440,0.7,0.7,1.000,0.3,2.3,2.7,2.7,0.7,0.3,1.3,1.3,8.0
Elijah Hughes,SF,23,UTA,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
De'Andre Hunter,SF,24,ATL,2,2,29.5,5.0,13.5,.370,1.5,5.5,.273,3.5,8.0,.438,.426,0.0,0.0,,0.5,2.5,3.0,1.0,0.0,1.0,0.0,3.0,11.5
Chandler Hutchison,SF,25,PHO,1,0,6.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0
Bones Hyland,PG,21,DEN,1,0,10.0,3.0,5.0,.600,1.0,3.0,.333,2.0,2.0,1.000,.700,0.0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,7.0
Andre Iguodala,SF,38,GSW,3,0,22.0,2.3,4.0,.583,1.0,2.7,.375,1.3,1.3,1.000,.708,0.7,0.7,1.000,0.3,3.7,4.0,2.7,0.3,1.0,0.3,1.0,6.3
Joe Ingles,SF,34,UTA,3,0,19.7,3.0,5.0,.600,2.3,4.3,.538,0.7,0.7,1.000,.833,0.7,0.7,1.000,0.0,2.7,2.7,2.3,0.3,0.3,0.0,1.7,9.0
Brandon Ingram,SF,24,NOP,4,4,37.0,11.3,22.5,.500,2.5,5.0,.500,8.8,17.5,.500,.556,2.0,2.8,.727,1.0,6.5,7.5,4.8,0.3,0.3,4.3,3.0,27.0
Frank Jackson,PG,23,DET,3,2,21.0,2.3,8.3,.280,0.7,4.3,.154,1.7,4.0,.417,.320,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.0,1.7,2.3,5.3
Isaiah Jackson,PF,20,IND,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jaren Jackson Jr.,C,22,MEM,3,3,30.0,4.0,11.7,.343,2.7,6.3,.421,1.3,5.3,.250,.457,4.7,4.7,1.000,0.7,5.3,6.0,0.7,0.7,2.3,1.3,3.3,15.3
Josh Jackson,SF,24,DET,3,1,22.3,4.0,8.0,.500,0.7,3.3,.200,3.3,4.7,.714,.542,1.0,1.7,.600,0.7,3.3,4.0,2.7,0.3,0.3,2.3,1.3,9.7
Reggie Jackson,SG,31,LAC,3,3,34.0,5.7,18.7,.304,3.0,10.7,.281,2.7,8.0,.333,.384,1.0,1.3,.750,0.7,3.0,3.7,4.0,0.7,0.0,0.7,2.3,15.3
LeBron James,SF,37,LAL,3,3,38.0,9.3,20.0,.467,4.7,9.7,.483,4.7,10.3,.452,.583,2.7,4.0,.667,0.3,6.0,6.3,5.3,1.7,1.0,4.0,3.3,26.0
Ty Jerome,SG,24,OKC,1,0,15.0,0.0,5.0,.000,0.0,4.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Isaiah Joe,SG,22,PHI,4,0,8.5,0.3,2.5,.100,0.3,2.0,.125,0.0,0.5,.000,.150,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.3,0.8
Alize Johnson,PF,25,CHI,4,0,11.3,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.5,0.8,.667,1.0,2.5,3.5,0.8,0.3,0.0,0.8,1.8,3.5
Cameron Johnson,PF,25,PHO,3,0,19.0,3.0,7.3,.409,2.0,4.3,.462,1.0,3.0,.333,.545,0.0,0.0,,0.3,1.3,1.7,1.7,0.7,0.0,0.3,1.3,8.0
Jalen Johnson,PF,20,ATL,2,0,3.5,1.5,2.5,.600,1.0,1.5,.667,0.5,1.0,.500,.800,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,4.0
James Johnson,PF,34,BRK,4,0,9.0,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.3,0.5,.500,0.3,0.3,0.5,0.5,0.3,0.5,0.0,1.0,0.8
Keldon Johnson,SF,22,SAS,4,4,29.5,7.3,14.5,.500,0.0,2.5,.000,7.3,12.0,.604,.500,3.8,5.3,.714,1.0,3.0,4.0,1.8,1.0,0.0,1.8,3.0,18.3
