Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Naji Marshall,SF,24,NOP,4,0,12.0,0.8,2.3,.333,0.0,0.5,.000,0.8,1.8,.429,.333,0.3,0.5,.500,0.8,3.0,3.8,1.3,0.3,0.5,1.8,1.5,1.8
Caleb Martin,SF,26,MIA,1,0,8.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,2.0,4.0,.500,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0
Cody Martin,SF,26,CHO,4,0,23.8,3.3,6.5,.500,0.8,2.0,.375,2.5,4.5,.556,.558,1.5,2.0,.750,1.5,3.5,5.0,1.8,1.0,0.5,0.8,1.8,8.8
Kenyon Martin Jr.,SF,21,HOU,3,0,6.7,1.0,1.3,.750,0.0,0.0,,1.0,1.3,.750,.750,0.7,1.3,.500,0.3,1.0,1.3,0.7,0.3,0.0,0.0,0.3,2.7
Tyrese Maxey,SG,21,PHI,4,4,33.5,5.5,13.3,.415,0.8,3.8,.200,4.8,9.5,.500,.443,2.3,2.5,.900,0.8,3.3,4.0,3.0,0.5,0.3,1.5,3.0,14.0
Skylar Mays,SG,24,ATL,2,0,3.5,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.5
Miles McBride,PG,21,NYK,2,0,1.5,0.0,1.5,.000,0.0,1.0,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
CJ McCollum,SG,30,POR,3,3,32.3,10.3,19.7,.525,5.3,11.0,.485,5.0,8.7,.577,.661,1.3,1.3,1.000,0.7,3.7,4.3,3.3,2.0,1.7,3.3,2.3,27.3
T.J. McConnell,PG,29,IND,4,0,22.5,3.0,6.5,.462,0.5,1.5,.333,2.5,5.0,.500,.500,0.0,0.3,.000,0.3,2.5,2.8,5.0,0.8,0.5,1.0,1.5,6.5
Jaden McDaniels,PF,21,MIN,3,3,28.3,1.7,5.0,.333,0.3,2.3,.143,1.3,2.7,.500,.367,0.0,0.0,,1.3,2.7,4.0,0.3,1.7,2.0,0.7,2.3,3.7
Jalen McDaniels,SF,24,CHO,4,0,11.5,1.8,2.5,.700,0.8,1.3,.600,1.0,1.3,.800,.850,1.0,1.5,.667,0.8,0.8,1.5,0.8,0.3,0.0,0.3,1.0,5.3
Doug McDermott,PF,30,SAS,4,4,25.8,4.3,8.5,.500,2.5,5.5,.455,1.8,3.0,.583,.647,0.5,0.5,1.000,0.3,1.8,2.0,0.8,0.0,0.0,0.5,0.8,11.5
JaVale McGee,C,34,PHO,3,0,13.3,4.3,6.0,.722,0.0,0.0,,4.3,6.0,.722,.722,0.3,2.0,.167,0.7,4.7,5.3,0.0,0.0,0.3,1.3,2.3,9.0
Rodney McGruder,SG,30,DET,2,0,3.5,0.5,1.5,.333,0.5,1.0,.500,0.0,0.5,.000,.500,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.5
Jordan McLaughlin,PG,25,MIN,3,0,14.0,1.0,2.3,.429,0.0,0.7,.000,1.0,1.7,.600,.429,1.0,1.3,.750,0.3,1.3,1.7,2.7,1.3,0.0,0.7,0.3,3.0
Ben McLemore,SG,28,POR,2,0,8.5,1.5,4.0,.375,1.0,3.5,.286,0.5,0.5,1.000,.500,1.0,1.0,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,5.0
De'Anthony Melton,PG,23,MEM,3,3,30.7,7.3,14.0,.524,3.7,6.3,.579,3.7,7.7,.478,.655,0.0,0.0,,1.7,3.0,4.7,2.7,1.0,0.0,1.0,1.3,18.3
Khris Middleton,SF,30,MIL,4,4,30.3,7.5,16.3,.462,1.5,5.0,.300,6.0,11.3,.533,.508,4.8,5.5,.864,0.3,4.3,4.5,4.3,1.5,0.3,4.0,1.3,21.3
Patty Mills,PG,33,BRK,4,0,28.5,5.3,10.0,.525,4.0,6.3,.640,1.3,3.8,.333,.725,0.0,0.0,,0.0,2.5,2.5,2.3,0.8,0.3,0.5,1.8,14.5
Paul Millsap,PF,36,BRK,4,0,9.8,1.0,2.5,.400,0.5,1.8,.286,0.5,0.8,.667,.500,0.5,0.5,1.000,0.5,2.8,3.3,1.3,0.5,0.3,0.5,1.8,3.0
Davion Mitchell,PG,23,SAC,3,0,29.3,3.7,10.0,.367,1.0,4.7,.214,2.7,5.3,.500,.417,0.7,1.3,.500,0.0,1.7,1.7,3.7,1.3,0.0,0.7,1.7,9.0
Donovan Mitchell,PG,25,UTA,3,3,33.3,8.0,20.7,.387,3.3,11.0,.303,4.7,9.7,.483,.468,2.3,2.7,.875,1.0,2.3,3.3,4.7,1.7,0.3,3.7,2.7,21.7
Evan Mobley,PF,20,CLE,4,4,33.0,5.5,10.0,.550,0.3,1.0,.250,5.3,9.0,.583,.563,3.0,3.5,.857,1.5,6.8,8.3,2.8,1.3,2.0,2.0,2.5,14.3
Malik Monk,SG,23,LAL,4,1,23.8,3.5,8.0,.438,2.3,5.3,.429,1.3,2.8,.455,.578,1.3,1.5,.833,0.3,1.5,1.8,2.3,1.0,0.0,0.5,0.5,10.5
Moses Moody,SG,19,GSW,3,0,3.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.0,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.7
Ja Morant,PG,22,MEM,3,3,35.3,13.3,23.0,.580,2.7,6.0,.444,10.7,17.0,.627,.638,5.7,7.0,.810,1.0,2.7,3.7,8.0,1.3,0.7,4.3,2.7,35.0
Marcus Morris,PF,32,LAC,2,2,27.5,3.5,9.0,.389,1.5,5.5,.273,2.0,3.5,.571,.472,1.0,1.0,1.000,0.0,0.5,0.5,0.5,1.0,0.5,0.5,4.0,9.5
Markieff Morris,PF,32,MIA,3,0,20.0,4.0,9.0,.444,0.7,2.7,.250,3.3,6.3,.526,.481,0.3,0.3,1.000,1.3,1.3,2.7,1.0,0.7,0.3,1.3,2.3,9.0
Monte Morris,PG,26,DEN,4,4,30.0,4.5,9.3,.486,1.8,3.8,.467,2.8,5.5,.500,.581,0.0,0.5,.000,0.0,1.5,1.5,3.5,0.5,0.0,2.0,1.8,10.8
Trey Murphy III,SF,21,NOP,4,0,21.0,2.0,5.3,.381,1.8,4.3,.412,0.3,1.0,.250,.548,0.0,0.3,.000,0.3,2.3,2.5,0.8,0.5,0.0,0.5,1.8,5.8
Dejounte Murray,PG,25,SAS,4,4,35.0,6.8,18.3,.370,0.8,3.5,.214,6.0,14.8,.407,.390,1.0,1.8,.571,0.8,8.3,9.0,9.0,2.3,0.5,2.3,3.0,15.3
Mike Muscala,C,30,OKC,3,0,15.3,3.3,5.3,.625,2.0,3.7,.545,1.3,1.7,.800,.813,1.3,1.7,.800,0.3,2.7,3.0,0.3,1.0,0.0,0.0,1.3,10.0
Svi Mykhailiuk,SF,24,TOR,4,0,15.5,1.8,4.3,.412,1.3,3.3,.385,0.5,1.0,.500,.559,1.3,1.5,.833,0.8,3.0,3.8,1.3,0.5,0.0,1.5,2.3,6.0
Abdel Nader,SF,28,PHO,3,0,13.3,1.0,3.7,.273,0.3,1.7,.200,0.7,2.0,.333,.318,1.0,1.3,.750,0.3,2.0,2.3,0.7,0.7,0.0,0.3,0.7,3.3
Larry Nance Jr.,PF,29,POR,3,0,19.0,2.0,4.0,.500,1.0,2.0,.500,1.0,2.0,.500,.625,0.0,0.0,,0.3,2.7,3.0,0.7,0.7,0.3,1.3,2.3,5.0
RJ Nembhard,SG,22,CLE,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Aaron Nesmith,SF,22,BOS,3,0,9.0,0.0,3.3,.000,0.0,3.0,.000,0.0,0.3,.000,.000,0.0,0.0,,0.7,0.7,1.3,1.0,0.3,0.0,0.3,1.7,0.0
Raul Neto,PG,29,WAS,3,0,23.0,4.0,8.0,.500,0.3,1.7,.200,3.7,6.3,.579,.521,1.0,1.0,1.000,0.0,2.3,2.3,2.0,2.3,0.3,1.3,1.3,9.3
Georges Niang,PF,28,PHI,4,0,18.5,3.8,6.8,.556,2.5,4.5,.556,1.3,2.3,.556,.741,0.3,0.3,1.000,0.3,1.0,1.3,1.3,0.3,0.5,0.3,2.3,10.3
Zeke Nnaji,PF,21,DEN,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Jaylen Nowell,SG,22,MIN,1,0,6.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0
Frank Ntilikina,PG,23,DAL,2,0,4.0,0.5,1.5,.333,0.0,0.5,.000,0.5,1.0,.500,.333,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.5,0.5,1.5,1.0
Jusuf Nurkić,C,27,POR,3,3,25.7,4.0,7.7,.522,0.3,1.0,.333,3.7,6.7,.550,.543,2.7,3.0,.889,2.0,10.0,12.0,2.0,0.7,0.3,3.0,2.7,11.0
David Nwaba,SF,29,HOU,4,0,12.5,2.0,4.3,.471,0.0,0.8,.000,2.0,3.5,.571,.471,1.0,2.0,.500,0.8,2.5,3.3,1.8,1.0,0.3,0.8,1.8,5.0
Jordan Nwora,SF,23,MIL,4,0,24.3,3.8,10.0,.375,1.8,5.3,.333,2.0,4.8,.421,.463,1.3,1.8,.714,0.3,5.0,5.3,1.8,0.3,1.3,0.5,1.8,10.5
Royce O'Neale,SF,28,UTA,3,3,30.3,1.7,5.3,.313,1.0,3.7,.273,0.7,1.7,.400,.406,0.0,0.0,,1.0,3.3,4.3,1.7,1.7,1.0,0.7,1.7,4.3
Josh Okogie,SG,23,MIN,3,3,17.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,1.0,2.7,.375,1.3,2.7,4.0,1.3,1.7,0.7,0.3,1.7,2.3
Isaac Okoro,SF,21,CLE,4,0,27.0,2.8,5.8,.478,0.3,1.3,.200,2.5,4.5,.556,.500,1.3,2.0,.625,1.5,1.3,2.8,1.8,0.5,0.8,0.5,2.8,7.0
KZ Okpala,PF,22,MIA,2,0,5.0,0.5,1.0,.500,0.5,0.5,1.000,0.0,0.5,.000,.750,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5
Kelly Olynyk,PF,30,DET,3,1,23.7,5.7,11.0,.515,0.7,3.7,.182,5.0,7.3,.682,.545,1.7,3.3,.500,1.3,3.7,5.0,2.7,1.3,0.3,2.0,0.7,13.7
Miye Oni,SG,24,UTA,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Cedi Osman,SF,26,CLE,4,0,16.5,2.8,6.0,.458,1.3,3.5,.357,1.5,2.5,.600,.563,0.5,0.8,.667,0.5,1.5,2.0,1.5,0.0,0.0,0.8,0.8,7.3
Kelly Oubre Jr.,SF,26,CHO,4,3,32.0,6.0,14.8,.407,3.0,7.8,.387,3.0,7.0,.429,.508,1.8,2.3,.778,1.5,4.3,5.8,1.3,0.5,0.0,0.3,3.3,16.8
Kevin Pangos,PG,29,CLE,2,0,3.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Jabari Parker,PF,26,BOS,1,0,17.0,5.0,8.0,.625,3.0,4.0,.750,2.0,4.0,.500,.813,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,13.0
Eric Paschall,PF,25,UTA,3,0,14.3,0.7,2.7,.250,0.7,2.0,.333,0.0,0.7,.000,.375,0.0,0.0,,0.3,2.3,2.7,1.0,0.0,0.3,0.3,0.3,2.0
Chris Paul,PG,36,PHO,3,3,29.3,4.7,9.3,.500,1.0,3.3,.300,3.7,6.0,.611,.554,3.7,4.0,.917,0.7,3.0,3.7,11.7,1.7,0.3,3.0,2.0,14.0
Cameron Payne,PG,27,PHO,2,0,16.5,2.0,7.0,.286,0.5,3.0,.167,1.5,4.0,.375,.321,2.5,4.0,.625,0.5,2.0,2.5,3.5,0.5,0.0,2.0,1.5,7.0
Elfrid Payton,PG,27,PHO,1,0,25.0,6.0,11.0,.545,0.0,1.0,.000,6.0,10.0,.600,.545,2.0,2.0,1.000,1.0,3.0,4.0,6.0,1.0,0.0,3.0,2.0,14.0
Gary Payton II,PG,29,GSW,4,0,5.5,1.3,2.0,.625,0.8,0.8,1.000,0.5,1.3,.400,.813,0.0,0.0,,0.3,0.3,0.5,0.3,0.3,0.0,0.5,0.8,3.3
Jamorko Pickett,PF,24,DET,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Mason Plumlee,C,31,CHO,4,4,29.8,3.5,6.3,.560,0.0,0.0,,3.5,6.3,.560,.560,1.0,3.8,.267,2.3,8.0,10.3,2.8,1.3,1.3,1.0,1.8,8.0
Jakob Poeltl,C,26,SAS,4,4,32.0,7.8,10.8,.721,0.0,0.0,,7.8,10.8,.721,.721,0.5,1.8,.286,6.3,4.5,10.8,3.5,1.0,1.3,2.0,3.0,16.0
Aleksej Pokusevski,PF,20,OKC,4,0,14.3,2.3,5.8,.391,0.8,3.0,.250,1.5,2.8,.545,.457,0.5,1.0,.500,0.8,3.0,3.8,1.8,1.0,0.3,1.8,1.3,5.8
Jordan Poole,SG,22,GSW,4,4,27.8,6.3,15.5,.403,1.8,7.3,.241,4.5,8.3,.545,.460,1.0,1.3,.800,0.3,2.5,2.8,4.3,1.3,0.8,3.0,2.3,15.3
Kevin Porter Jr.,SG,21,HOU,4,4,31.0,5.0,12.5,.400,2.8,7.0,.393,2.3,5.5,.409,.510,1.5,2.5,.600,0.5,3.0,3.5,6.0,1.3,0.5,6.3,3.8,14.3
Michael Porter Jr.,SF,23,DEN,4,4,31.8,4.5,13.0,.346,2.3,7.0,.321,2.3,6.0,.375,.433,0.3,0.3,1.000,1.0,4.3,5.3,2.5,1.5,0.3,1.5,3.0,11.5
Otto Porter,PF,28,GSW,4,0,17.8,1.8,4.5,.389,0.8,2.3,.333,1.0,2.3,.444,.472,0.8,1.0,.750,1.0,4.3,5.3,1.5,1.0,0.5,0.8,2.0,5.0
Kristaps Porziņģis,C,26,DAL,3,3,26.0,4.3,14.3,.302,1.3,5.7,.235,3.0,8.7,.346,.349,2.7,3.7,.727,1.7,4.3,6.0,0.7,0.7,2.0,1.7,2.0,12.7
Dwight Powell,C,30,DAL,3,3,23.3,2.3,4.3,.538,0.0,0.7,.000,2.3,3.7,.636,.538,2.7,3.7,.727,1.3,2.0,3.3,1.3,1.3,0.7,0.7,3.7,7.3
Norman Powell,SF,28,POR,2,2,24.0,4.5,8.5,.529,1.5,3.5,.429,3.0,5.0,.600,.618,4.5,5.0,.900,0.0,3.5,3.5,0.0,0.0,0.0,0.5,1.5,15.0
Joshua Primo,SG,19,SAS,2,0,3.0,1.0,1.0,1.000,0.5,0.5,1.000,0.5,0.5,1.000,1.250,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.5
Taurean Prince,PF,27,MIN,3,0,13.3,1.0,3.3,.300,0.7,2.7,.250,0.3,0.7,.500,.400,1.7,2.3,.714,0.3,2.0,2.3,1.0,0.7,0.0,0.7,1.7,4.3
Payton Pritchard,SG,24,BOS,4,0,14.3,1.0,4.0,.250,1.0,3.3,.308,0.0,0.8,.000,.375,0.0,0.0,,1.3,1.8,3.0,2.3,0.0,0.3,0.5,1.8,3.0
Immanuel Quickley,PG,22,NYK,4,0,14.0,2.0,5.8,.348,1.3,4.0,.313,0.8,1.8,.429,.457,1.3,1.3,1.000,0.5,0.8,1.3,1.5,0.5,0.0,0.8,0.5,6.5
Julius Randle,PF,27,NYK,4,4,37.8,9.0,21.3,.424,2.3,7.3,.310,6.8,14.0,.482,.476,5.3,6.0,.875,2.3,9.0,11.3,6.5,1.0,1.8,3.5,2.8,25.5
Austin Reaves,SG,23,LAL,3,0,20.0,2.7,4.0,.667,1.3,2.7,.500,1.3,1.3,1.000,.833,0.7,0.7,1.000,0.0,0.7,0.7,1.3,0.0,0.0,0.7,1.7,7.3
Cam Reddish,SF,22,ATL,3,0,25.3,6.3,14.3,.442,3.0,5.3,.563,3.3,9.0,.370,.547,3.0,3.7,.818,1.3,3.0,4.3,0.7,1.3,0.0,1.7,1.7,18.7
Paul Reed,PF,22,PHI,3,0,5.3,0.7,1.7,.400,0.0,0.0,,0.7,1.7,.400,.400,0.0,0.0,,1.0,1.0,2.0,1.3,0.3,0.3,0.0,0.7,1.3
Naz Reid,C,22,MIN,3,0,15.3,2.3,6.7,.350,0.7,3.0,.222,1.7,3.7,.455,.400,1.0,2.0,.500,1.0,2.3,3.3,0.3,1.7,1.7,1.0,3.7,6.3
Nick Richards,C,24,CHO,3,0,5.3,1.0,1.3,.750,0.0,0.0,,1.0,1.3,.750,.750,0.3,0.3,1.000,0.3,0.7,1.0,0.0,0.0,1.0,0.3,0.3,2.3
Josh Richardson,SG,28,BOS,3,0,18.0,2.3,5.7,.412,1.7,3.7,.455,0.7,2.0,.333,.559,0.0,0.0,,0.3,1.7,2.0,1.0,0.3,0.3,1.0,1.7,6.3
Austin Rivers,SG,29,DEN,4,0,10.8,0.8,3.3,.231,0.0,1.3,.000,0.8,2.0,.375,.231,0.3,0.5,.500,0.3,0.5,0.8,0.5,0.3,0.0,0.8,0.3,1.8
Duncan Robinson,SF,27,MIA,3,3,29.3,3.7,10.0,.367,2.7,8.3,.320,1.0,1.7,.600,.500,0.7,1.0,.667,0.0,5.3,5.3,2.3,0.3,0.3,1.3,2.7,10.7
Justin Robinson,PG,24,MIL,4,0,15.8,1.3,4.5,.278,0.5,2.8,.182,0.8,1.8,.429,.333,0.5,0.5,1.000,0.0,1.0,1.0,0.5,1.3,0.0,0.8,1.3,3.5
Mitchell Robinson,C,23,NYK,4,4,31.3,3.8,4.5,.833,0.0,0.0,,3.8,4.5,.833,.833,1.0,2.8,.364,4.0,6.5,10.5,1.3,0.8,1.3,1.0,4.5,8.5
Jeremiah Robinson-Earl,PF,21,OKC,4,1,18.8,3.0,5.3,.571,1.5,2.8,.545,1.5,2.5,.600,.714,0.3,0.5,.500,1.3,3.0,4.3,0.3,0.3,0.0,1.5,1.0,7.8
Isaiah Roby,PF,23,OKC,3,1,9.0,1.7,4.3,.385,0.3,1.3,.250,1.3,3.0,.444,.423,0.0,0.0,,1.3,1.0,2.3,0.3,0.0,0.0,0.7,1.3,3.7
Rajon Rondo,PG,35,LAL,3,0,17.7,2.3,6.0,.389,1.0,2.3,.429,1.3,3.7,.364,.472,0.0,0.0,,0.3,1.7,2.0,3.7,1.0,0.0,2.7,1.7,5.7
Derrick Rose,PG,33,NYK,4,0,23.8,5.0,10.5,.476,2.8,4.8,.579,2.3,5.8,.391,.607,1.5,1.8,.857,1.3,1.8,3.0,4.0,1.3,0.5,1.5,0.5,14.3
Terrence Ross,SG,30,ORL,4,0,26.0,3.8,9.0,.417,1.8,5.0,.350,2.0,4.0,.500,.514,3.0,3.5,.857,0.3,1.0,1.3,1.5,0.5,0.0,1.5,1.3,12.3
Terry Rozier,SG,27,CHO,1,1,23.0,1.0,5.0,.200,0.0,2.0,.000,1.0,3.0,.333,.200,4.0,4.0,1.000,0.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,6.0
Ricky Rubio,PG,31,CLE,4,2,28.3,5.0,11.8,.426,2.3,5.8,.391,2.8,6.0,.458,.521,2.0,2.3,.889,0.3,3.8,4.0,9.0,1.3,0.3,3.3,3.0,14.3
D'Angelo Russell,PG,25,MIN,3,3,27.7,4.7,14.7,.318,2.3,7.7,.304,2.3,7.0,.333,.398,2.7,3.3,.800,0.3,3.7,4.0,4.0,1.0,0.7,4.0,1.3,14.3
Domantas Sabonis,PF,25,IND,4,4,40.5,9.8,15.5,.629,1.5,3.8,.400,8.3,11.8,.702,.677,3.8,5.0,.750,2.5,9.8,12.3,4.5,1.3,0.3,3.8,3.3,24.8
Tomáš Satoranský,SG,30,NOP,2,0,8.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.0
Dennis Schröder,SG,28,BOS,4,2,31.0,4.8,12.0,.396,1.5,4.8,.316,3.3,7.3,.448,.458,3.3,4.0,.813,0.8,3.8,4.5,6.3,1.0,0.3,2.8,3.0,14.3
Jay Scrubb,SG,21,LAC,1,0,9.0,2.0,6.0,.333,1.0,2.0,.500,1.0,4.0,.250,.417,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0
Wayne Selden,SG,27,NYK,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alperen Şengün,PF,19,HOU,4,0,17.5,2.0,4.5,.444,0.3,1.3,.200,1.8,3.3,.538,.472,3.0,4.0,.750,1.0,2.8,3.8,2.3,2.3,0.8,2.8,3.5,7.3
Collin Sexton,SG,23,CLE,4,4,29.0,7.3,14.8,.492,1.8,5.0,.350,5.5,9.8,.564,.551,2.8,4.0,.688,0.5,1.8,2.3,2.3,0.5,0.0,2.0,3.8,19.0
Landry Shamet,SG,24,PHO,3,0,17.0,2.3,4.3,.538,1.7,3.0,.556,0.7,1.3,.500,.731,0.0,0.0,,0.3,2.0,2.3,0.7,0.0,0.0,0.7,2.3,6.3
Day'Ron Sharpe,PF,20,BRK,2,0,3.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Anfernee Simons,SG,22,POR,3,0,20.7,5.7,11.0,.515,2.0,5.3,.375,3.7,5.7,.647,.606,0.3,0.3,1.000,0.7,2.3,3.0,2.0,0.0,0.0,1.0,1.0,13.7
Jericho Sims,PF,23,NYK,2,0,8.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.5,1.0,.500,0.0,2.5,2.5,0.0,0.5,0.0,0.0,0.5,1.5
Marcus Smart,PG,27,BOS,4,4,37.3,2.8,10.0,.275,1.8,7.3,.241,1.0,2.8,.364,.363,0.3,0.3,1.000,0.0,4.5,4.5,5.3,2.5,0.5,2.3,2.5,7.5
Dennis Smith Jr.,PG,24,POR,2,0,18.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.5,1.0,.500,0.5,1.5,2.0,4.0,2.0,0.5,2.0,0.0,4.5
Ish Smith,PG,33,CHO,4,0,21.0,4.8,11.3,.422,0.3,0.3,1.000,4.5,11.0,.409,.433,0.5,1.5,.333,0.3,1.8,2.0,5.3,0.8,0.5,0.5,0.8,10.3
Jalen Smith,PF,21,PHO,1,0,10.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
Jaden Springer,SG,19,PHI,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Stevens,PF,24,CLE,2,0,2.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Stewart,C,20,DET,3,3,26.3,5.0,8.3,.600,0.0,0.3,.000,5.0,8.0,.625,.600,0.3,0.3,1.000,2.7,6.3,9.0,1.7,0.3,1.3,1.7,1.7,10.3
Max Strus,SF,25,MIA,3,0,18.0,2.0,4.7,.429,1.0,3.3,.300,1.0,1.3,.750,.536,0.0,0.3,.000,0.3,2.0,2.3,0.7,0.0,0.3,0.0,1.3,5.0
Jalen Suggs,PG,20,ORL,4,4,28.5,3.8,13.0,.288,1.5,5.8,.261,2.3,7.3,.310,.346,3.5,4.0,.875,1.0,2.3,3.3,3.5,1.3,0.0,3.5,3.3,12.5
Jae'Sean Tate,SF,26,HOU,4,4,27.8,3.5,7.5,.467,0.5,1.5,.333,3.0,6.0,.500,.500,1.5,1.5,1.000,1.8,5.3,7.0,3.0,0.8,0.3,2.0,3.5,9.0
Jayson Tatum,SF,23,BOS,4,4,38.3,10.3,24.0,.427,3.5,10.5,.333,6.8,13.5,.500,.500,3.5,4.3,.824,1.3,7.0,8.3,4.5,0.5,1.3,2.8,3.0,27.5
Garrett Temple,SG,35,NOP,4,0,14.3,1.0,2.8,.364,0.8,1.8,.429,0.3,1.0,.250,.500,0.5,0.8,.667,1.0,2.0,3.0,0.5,0.3,0.8,0.5,1.0,3.3
Daniel Theis,C,29,HOU,4,4,22.5,3.3,6.5,.500,1.0,2.5,.400,2.3,4.0,.563,.577,1.3,1.5,.833,1.5,4.3,5.8,0.8,0.0,0.5,0.5,2.5,8.8
Cameron Thomas,SG,20,BRK,3,0,3.0,0.0,1.7,.000,0.0,0.7,.000,0.0,1.0,.000,.000,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.7
Matt Thomas,SG,27,CHI,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tristan Thompson,PF,30,SAC,3,0,13.0,2.0,3.7,.545,0.0,0.0,,2.0,3.7,.545,.545,0.0,0.0,,1.3,3.3,4.7,0.0,0.0,0.0,0.7,1.3,4.0
JT Thor,PF,19,CHO,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matisse Thybulle,SG,24,PHI,4,0,22.5,1.8,3.8,.467,0.3,1.5,.167,1.5,2.3,.667,.500,0.0,0.0,,0.3,2.0,2.3,1.0,1.8,1.5,1.0,1.3,3.8
Xavier Tillman Sr.,PF,23,MEM,1,0,22.0,3.0,7.0,.429,0.0,3.0,.000,3.0,4.0,.750,.429,1.0,2.0,.500,3.0,4.0,7.0,1.0,3.0,0.0,0.0,0.0,7.0
Isaiah Todd,PF,20,WAS,1,0,5.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,1.0,2.0,.500,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
Obi Toppin,PF,23,NYK,4,0,19.0,4.0,7.0,.571,0.5,2.8,.182,3.5,4.3,.824,.607,1.0,2.3,.444,1.3,2.0,3.3,1.3,1.0,0.8,0.8,2.0,9.5
Juan Toscano-Anderson,SF,28,GSW,4,0,12.8,1.3,2.8,.455,1.0,2.0,.500,0.3,0.8,.333,.636,0.8,1.0,.750,0.5,1.3,1.8,1.3,0.5,0.3,0.5,1.5,4.3
Karl-Anthony Towns,C,26,MIN,3,3,32.7,10.3,19.7,.525,3.3,6.7,.500,7.0,13.0,.538,.610,5.0,5.0,1.000,4.0,5.3,9.3,3.7,1.3,2.3,3.7,4.0,29.0
